"datacamp_id","academic_year","location","intern_status","intern_work_site","work_site_zip","organization","industry","total_hours_worked","dob","mailing_zip","median_household_income","labor_force_participation","unemployment_rate","ssi","cash_assistance","snap","all_families_below_poverty","educational_attainment_ba","female_headed_households","race","gender","high_school","title_i_school","frl","graduation_rate_of_hs","college_enrollment_of_hs","hs_zip_code","nsc_data_available","first_year_college_enrollment","first_year_college_type","first_year_college_state","student_quote"
"UADC970","2013 - 2014","Chicago","Terminated Student - Performance Based","The John Buck Company CHI 2013-2014","60606","The John Buck Company","Real Estate",141,"1996-08-16","60622",68923,0.792,0.053,0.032,0.032,0.112,0.116,0.603,0.053,"Hispanic/Latino","M","Wells Community Academy High School",1,0.94,0.71,0.49,"60622",0,NA,NA,NA,""
"UADC784","2013 - 2014","Chicago","Alumni","Urban Initiatives CHI 2013-2014","60661","Urban Initiatives","Non-profit",262,"1996-11-02","60615",39055,0.641,0.098,0.07,0.029,0.187,0.174,0.534,0.089,"Black","M","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",1,NA,NA,NA,""
"UADC764","2013 - 2014","DC - Year Round High School Program","Alumni","Standard Technology, Inc DC 2013-2014","20814","Standard Technology, Inc","Technology",404,"1996-06-11","20002",65000,0.719,0.095,0.084,0.048,0.181,0.163,0.477,0.084,"Black","F","Coolidge Senior High School",1,0.995381,0.51,NA,"20011",1,NA,NA,NA,"UA prepared me for the real world. I learned that I have alot of responsibilities once I got my own money ."
"UADC693","2013 - 2014","Chicago","Alumni","Madison Dearborn CHI 2013-2014","60602","Madison Dearborn","Financial Services",435,"1995-11-29","60608",35336,0.609,0.1,0.057,0.076,0.233,0.246,0.19,0.09,"Hispanic/Latino","F","Juarez Community Academy High School",1,0.969,0.9,0.46,"60608",1,NA,NA,NA,""
"UADC684","2013 - 2014","Chicago","Alumni","Kirkland Ellis CHI 2013-2014","60654","Kirkland Ellis","Legal & Professional Services",554,"1995-04-18","60612",35318,0.617,0.097,0.115,0.065,0.295,0.271,0.318,0.141,"Black","F","Marshall Metro High School",1,0.837,0.75,0.46,"60624",1,NA,NA,NA,"Experience at Urban Alliance was valuable because the Urban Alliance staff is a huge help if you don't have a family they are like a family. Urban Alliance gets you ready for the professional world."
"UADC750","2013 - 2014","NCR","Alumni","Reingold Inc NCR 2013-2014","22301","Reingold Inc","Legal & Professional Services",156,"1995-07-14","22204",76052,0.803,0.046,0.022,0.011,0.07,0.127,0.53,0.064,"Hispanic/Latino","M","Wakefield High School",0,0.4551,0.894,NA,"22206",1,NA,NA,NA,""
"UADC736","2013 - 2014","DC - Year Round High School Program","Alumni","Office of Personnel Management - Employee Services Recrutiment - 2013-2014","20240","Office of Personnel Management","Government",361,"1996-04-24","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Black","F","Anacostia Senior High School",1,1,0.39,NA,"20020",1,NA,NA,NA,"My experience at Urban Alliance was very valuable the workshop taught be how to handle myself in a proffesional setting. Urban Alliance gave me the opportunity to work in a office and see what goes on everyday at my jobsite. I learned a lot of technical skills with computers and printers that I did not know before. Overall, Urban Alliance is a great experience and a wonderful oppotunity to network and meet with new people."
"UADC900","2013 - 2014","DC - Year Round High School Program","Terminated Student - Self Removed","Kid Power Inc DC 2013-2014","20001","Kid Power Inc","Non-profit",112,"1996-06-11","20032",31184,0.58,0.155,0.112,0.121,0.375,0.34,0.141,0.222,"Multiracial","F","McKinley Technology High School",1,0.553412,0.95,NA,"20002",0,NA,NA,NA,""
"UADC658","2013 - 2014","Chicago","Alumni","Hillard Heintze CHI 2013-2014","60606","Hillard Heintze","Financial Services",450,"1995-08-23","60628",34472,0.532,0.127,0.116,0.066,0.314,0.247,0.168,0.141,"Black","F","Fenger Academy High School",1,0.962,0.82,0.41,"60628",1,NA,NA,NA,"Urban Alliance is valuable to me because it gave me insight of the professional world, instead of just telling me. Hands on experience are better when teaching a person on what to do and how to do something. That is what Urban Alliance has shown to me."
"UADC633","2013 - 2014","Baltimore","Alumni","Downtown Partnership BAL 2013-2014","21201","Downtown Partnership","Other",382,"1995-09-12","21215",34471,0.555,0.102,0.123,0.064,0.268,0.223,0.171,0.118,"Black","F","Northwestern High School",0,0.777,0.6049,0.346,"21215",1,NA,NA,NA,"Made me change my ways prepared me for the life after high school Was there for me every step of the way"
"UADC769","2013 - 2014","Baltimore","Alumni","The Mayor's Office BAL 2013-2014","21202","The Mayor's Office - Baltimore City","Government",589,"1996-01-21","21201",27465,0.588,0.062,0.086,0.052,0.222,0.308,0.454,0.082,"Asian","M","W.E.B. DuBois High School",0,0.816,0.5862,0.396,"21214",1,NA,NA,NA,"Urban Alliance is the best program in Baltimore. They teach you how to be professional and flexible. I will recommend to all the upcoming seniors."
"UADC738","2013 - 2014","DC - Year Round High School Program","Alumni","Office of Personnel Management - Retirement Services 2013-2014","20240","Office of Personnel Management","Government",377,"1995-09-10","20002",65000,0.719,0.095,0.084,0.048,0.181,0.163,0.477,0.084,"Black","F","Booker T. Washington Public Charter School",1,0.38,0.49,NA,"20009",1,NA,NA,NA,"My experience with Urban Alliance was so valuable because I believe that I and more prepared for the real world after going though this program. Urban Alliance gives you life skills that you will be using for the rest of your life and I am so thankful that I could be a part of this program."
"UADC890","2013 - 2014","Baltimore","Terminated Student - Self Removed","Higher Achievement BAL City Springs 2013-2014","21231","Higher Achievement","Education",66,"1995-10-30","21217",26187,0.534,0.108,0.15,0.085,0.363,0.307,0.187,0.167,"Black","F","Baltimore Talent Development High School",0,0.886,0.6923,0.292,"21217",0,NA,NA,NA,""
"UADC660","2013 - 2014","Chicago","Alumni","Hinshaw & Culbertson LLP CHI 2013-2014","60601","Hinshaw & Culbertson LLP","Legal & Professional Services",263,"1996-03-26","60629",40650,0.646,0.107,0.07,0.046,0.244,0.221,0.083,0.125,"White","F","Hubbard High School",0,0.979,0.92,0.6,"60629",1,NA,NA,NA,"If I could join Urban Alliance again I would. I'm glad I got the chance to have this experience and meet such inspiring,motivating, and caring people in this program."
"UADC757","2013 - 2014","DC - Year Round High School Program","Alumni","Sitar Arts Center DC 2013-2014","20009","Sitar Arts Center","Non-profit",553,"1995-11-18","20001",78848,0.723,0.071,0.058,0.024,0.116,0.164,0.574,0.062,"Multiracial","F","Cardozo Senior High School",1,0.992658,0.41,NA,"20009",1,NA,NA,NA,""
"UADC542","2013 - 2014","DC - Year Round High School Program","Alumni","African American Civil War Memorial and Museum DC 2013-2014","20001","African American Civil War Memorial and Museum","Non-profit",316,"1996-04-06","20002",65000,0.719,0.095,0.084,0.048,0.181,0.163,0.477,0.084,"Black","F","Washington Mathematics Science Technology Public Charter High School (WMST)",1,1,0.91,NA,"20002",1,NA,NA,NA,"It was a good work experience.It give you the feeling of a professional experience in a work place environment."
"UADC635","2013 - 2014","Chicago","Alumni","Edelman CHI 2013-2014","60601","Edelman","Legal & Professional Services",490,"1996-07-19","60707",55554,0.687,0.083,0.027,0.024,0.098,0.085,0.26,0.058,"Hispanic/Latino","F","Steinmetz College Prep",1,0.926,0.89,0.53,"60634",1,NA,NA,NA,""
"UADC651","2013 - 2014","Chicago","Alumni","Guaranteed Rate CHI 2013-2014","60613","Guaranteed Rate","Real Estate",411,"1995-05-28","60639",38707,0.661,0.103,0.099,0.042,0.262,0.22,0.084,0.129,"Hispanic/Latino","M","Steinmetz College Prep",1,0.926,0.89,0.53,"60634",1,NA,NA,NA,"It was valuable because it is a great opportunity to learn new things. Helps with work experience. Also helps how to use public transportation"
"UADC582","2013 - 2014","Chicago","Alumni","BMO Harris Bank 111 W Monroe CHI 2013-2014","60603","BMO Harris Bank","Financial Services",458,"1995-09-12","60632",38545,0.661,0.107,0.033,0.076,0.232,0.209,0.085,0.096,"Hispanic/Latino","F","Muchin College Prep",0,0.849,0.93,NA,"60602",1,NA,NA,NA,""
"UADC659","2013 - 2014","Chicago","Alumni","Hines CHI 2013-2014","60603","Hines","Real Estate",489,"1996-01-15","60634",55767,0.68,0.081,0.036,0.016,0.09,0.088,0.201,0.053,"White","F","Steinmetz College Prep",1,0.926,0.89,0.53,"60634",1,NA,NA,NA,"Urban Alliance is a program that is here to prepare you for the future. Wave goodbye to a high school summer and welcome the real world with a firm handshake. "
"UADC990","2013 - 2014","DC - Summer Program","Alumni","World Bank MNSEE 2013-2014","20433","World Bank Group","Government",NA,"1996-08-25","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Black","F","McKinley Technology High School",1,0.553412,0.95,NA,"20002",0,NA,NA,NA,""
"UADC29","2013 - 2014","DC - Year Round High School Program","Summer Program Alumni","Atlantic Media Company DC 2013-2014","20037","Atlantic Media Company","Media & Entertainment",170,"1996-07-12","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"Black","M","Woodson Senior High School",1,1,0.6,NA,"20019",0,NA,NA,NA,"My Urban Alliance experience was vital because, this was the first time anyone has ever trusted me enough to allow me to demonstrate my work effort and diligence in a professional environment. While Urban Alliance effortlessly demonstrates their confidence and trust in me  to do the right thing I will continue to strive for excellence and  make Urban Alliance proud that they've selected me to be an intern and representative. "
"UADC627","2013 - 2014","DC - Year Round High School Program","Alumni","DC Chamber of Commerce DC 2013-2014","20004","DC Chamber of Commerce","Financial Services",468,"1995-09-29","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Hispanic/Latino","M","Wilson Senior High School",0,0.295401,0.76,NA,"20016",1,NA,NA,NA,""
"UADC30","2013 - 2014","DC - Year Round High School Program","Summer Program Alumni","Community Preservation and Development Corporation- Southern Ridge DC 2013-2014","20015","Community Preservation and Development Corporation","Non-profit",113,"1997-03-13","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Black","F","Perry Street Prep",0,0.633129,0.68,NA,"20018",0,NA,NA,NA,""
"UADC661","2013 - 2014","DC - Year Round High School Program","Alumni","Honest Tea DC 2013-2014","20814","Honest Tea, Inc.","Other",160,"1996-07-20","20018",52317,0.606,0.109,0.096,0.061,0.22,0.119,0.279,0.084,"Black","M","Thurgood Marshall Academy",1,0.646617,0.76,NA,"20020",1,NA,NA,NA,"I followed directions. I made good connection."
"UADC662","2013 - 2014","Chicago","Alumni","Huron Consulting Group CHI 2013-2014","60607","Huron Consulting","Legal & Professional Services",497,"1995-07-13","60639",38707,0.661,0.103,0.099,0.042,0.262,0.22,0.084,0.129,"Black","F","Steinmetz College Prep",1,0.926,0.89,0.53,"60634",1,NA,NA,NA,""
"UADC681","2013 - 2014","Chicago","Alumni","Katten Muchin Rosenman LLP CHI 2013-2014","60661","Katten Muchin Rosenman LLP","Legal & Professional Services",476,"1995-02-23","60827",33108,0.633,0.158,0.092,0.073,0.361,0.274,0.126,0.227,"Black","F","Fenger Academy High School",1,0.962,0.82,0.41,"60628",1,NA,NA,NA,"My experience at Urban Alliance was bvaluable because their were a lot of caring people wondering what your plans were after high school. Also they cared about are personal life an school life."
"UADC539","2013 - 2014","Chicago","Alumni","Accenture CHI 2013-2014","60601","Accenture","Legal & Professional Services",419,"1995-11-21","60615",39055,0.641,0.098,0.07,0.029,0.187,0.174,0.534,0.089,"Black","F","Kenwood Academy High School",0,0.723,0.91,0.82,"60615",1,NA,NA,NA,""
"UADC942","2013 - 2014","Baltimore - YAIP","Terminated Student - Performance Based","OROSW BAL YAIP 2013-2014","21223","Operation Reach Out Southwest (OROSW)","Non-profit",74,"1994-07-18","21208",67244,0.612,0.041,0.035,0.017,0.083,0.048,0.457,0.07,"Black","M","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC993","2013 - 2014","Baltimore - YAIP","Alumni","Y of Central Maryland BAL YAIP 33rd Street 2013-2014","21218","Y of Central Maryland","Non-profit",241,"1992-10-22","21206",48428,0.706,0.079,0.052,0.04,0.169,0.139,0.171,0.127,"Black","F","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC885","2013 - 2014","Baltimore - YAIP","Terminated Student - Performance Based","ECSM BAL YAIP 2013-2014","21213","Episcopal Community Services of Maryland","Non-profit",171,"1994-09-15","21212",61912,0.69,0.06,0.054,0.046,0.129,0.08,0.532,0.097,"Black","F","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC747","2013 - 2014","DC - Year Round High School Program","Alumni","PG&E Corporation DC 2013-2014","20001","PG&E Corporation","Utilities",311,"1996-02-10","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"Black","F","Woodson Senior High School",1,1,0.6,NA,"20019",1,NA,NA,NA,""
"UADC768","2013 - 2014","Baltimore","Alumni","The Mayor's Office BAL 2013-2014","21202","The Mayor's Office - Baltimore City","Government",480,"1995-10-26","21230",63805,0.73,0.068,0.044,0.054,0.132,0.146,0.445,0.073,"Black","F","Baltimore Talent Development High School",0,0.886,0.6923,0.292,"21217",1,NA,NA,NA,"Urban Alliance is a GREAT program that helps young people grow and is a youth development non-profit that provides year-round paid internships at first when i was doing the pre-training i was like no im not gonna go through this because its taking to long i want to WORK but after i got in to the conversations about the topics like professionalism , networking skills etc it had to my intrest and i learned from the workshop it really helped i enjoyed my experiences even though it wasnt easy at all but i overcame all my obastacles Urban Alliance made me become someone i didnt even becoming a mature young women  that is respectful that has perservance and intergity . thank you Urban Alliance !"
"UADC578","2013 - 2014","Baltimore","Alumni","Bank of America BAL Centerpoint 2013-2014","20005","Bank of America","Financial Services",522,"1996-08-28","21223",25565,0.556,0.132,0.188,0.124,0.371,0.354,0.104,0.15,"Black","F","Baltimore Talent Development High School",0,0.886,0.6923,0.292,"21217",1,NA,NA,NA,"Urban Alliance was a life changing experience. I didnt believe that it would be so much hard work and effort you would have to put in. At first I thought it was just an opportunity to get put of school early but I sure did get a smack of reality. Now I am ready for the next step in my lifeâ€¦ Adulthood ! Thank you UA. "
"UADC756","2013 - 2014","Baltimore","Alumni","Sinai Hospital BAL 2013-2014","21215","Sinai Hospital","Healthcare",463,"1995-01-24","21223",25565,0.556,0.132,0.188,0.124,0.371,0.354,0.104,0.15,"Black","F","Augusta Fells Savage Institute of Visual Arts High School",1,0.917,0.619,0.232,"21217",1,NA,NA,NA,"it was a very valuable experience because it helped motivate me to do better."
"UADC968","2013 - 2014","Baltimore - YAIP","Terminated Student - Performance Based","Subway BAL YAIP 2013-2014","21251","Subway","Other",56,"1994-01-19","21230",63805,0.73,0.068,0.044,0.054,0.132,0.146,0.445,0.073,"Black","F","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC31","2013 - 2014","DC - Summer Program","Alumni","World Bank MNAVP 2013-2014","20433","World Bank Group","Government",NA,"1997-10-28","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Black","F","McKinley Technology High School",1,0.553412,0.95,NA,"20002",0,NA,NA,NA,""
"UADC32","2013 - 2014","DC - DOES","Alumni","",NA,"","",NA,"1996-01-05","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"Black","F","Anacostia Senior High School",1,1,0.39,NA,"20020",0,NA,NA,NA,""
"UADC794","2013 - 2014","NCR","Alumni","WJLA NCR 2013-2014","22209","Wjla/Newschannel 8","Media & Entertainment",121,"1996-02-23","22206",98985,0.837,0.037,0.032,0.006,0.039,0.062,0.729,0.022,"Black","M","Wakefield High School",0,0.4551,0.894,NA,"22206",1,NA,NA,NA,""
"UADC696","2013 - 2014","Baltimore","Alumni","Marriott BAL Renaissance 2013-2014","20817","Marriott","Hospitality",603,"1996-11-07","21215",34471,0.555,0.102,0.123,0.064,0.268,0.223,0.171,0.118,"Black","F","Northwestern High School",0,0.777,0.6049,0.346,"21215",1,NA,NA,NA,"This was the best experience I've had in a very long time. The Marriott Renaissance was my first job and it's a job that I will never forget. I won't forget the amazing people i met here either. Thank you so much UA!"
"UADC564","2013 - 2014","Baltimore","Alumni","Bank of America BAL Charles Street 2013-2014","20005","Bank of America","Financial Services",507,"1996-09-16","21217",26187,0.534,0.108,0.15,0.085,0.363,0.307,0.187,0.167,"Black","F","Baltimore Talent Development High School",0,0.886,0.6923,0.292,"21217",1,NA,NA,NA,""
"UADC933","2013 - 2014","DC - Year Round High School Program","Terminated Student - Performance Based","Office of Personnel Management - Retirement Services 2013-2014","20240","Office of Personnel Management","Government",39,"1995-05-23","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Black","F","Woodson Senior High School",1,1,0.6,NA,"20019",0,NA,NA,NA,""
"UADC955","2013 - 2014","Baltimore - YAIP","Terminated Student - Self Removed","Reading Partners BAL YAIP Cherry Hill 2013-2014","21225","Reading Partners","Education",NA,"1993-01-30","21217",26187,0.534,0.108,0.15,0.085,0.363,0.307,0.187,0.167,"Black","M","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC985","2013 - 2014","DC - Summer Program","Alumni","World Bank GPSVP 2013-2014","20433","World Bank Group","Government",NA,"1997-07-09","20008",100953,0.768,0.024,0.01,0.006,0.012,0.019,0.875,0.009,"Black","F","Benjamin Banneker Academic High School",1,0.57,1,NA,"20001",0,NA,NA,NA,""
"UADC859","2013 - 2014","Chicago","Terminated Student - Performance Based","Chicago Youth Centers CHI 2013-2014","60604","Chicago Youth Centers","Non-profit",222,"1995-07-09","60653",24968,0.616,0.153,0.123,0.044,0.363,0.359,0.265,0.203,"Black","M","Phillips High School",1,0.944,0.69,0.58,"60653",0,NA,NA,NA,""
"UADC735","2013 - 2014","DC - Year Round High School Program","Alumni","Office of Personnel Management - Executive Secretariat Office 2013-2014","20240","Office of Personnel Management","Government",346,"1996-02-20","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Black","F","Washington Mathematics Science Technology Public Charter High School (WMST)",1,1,0.91,NA,"20002",1,NA,NA,NA,""
"UADC855","2013 - 2014","Chicago","Terminated Student - Performance Based","Chicago Public Library CHI 2013-2014","60624","Chicago Public Library","Education",116,"1995-02-21","60612",35318,0.617,0.097,0.115,0.065,0.295,0.271,0.318,0.141,"Black","F","Marshall Metro High School",1,0.837,0.75,0.46,"60624",0,NA,NA,NA,""
"UADC849","2013 - 2014","Baltimore - YAIP","Alumni","Bon Secours BAL YAIP 2013-2014","21223","Bon Secours","Healthcare",479,"1996-02-02","21229",45055,0.668,0.096,0.068,0.044,0.193,0.138,0.165,0.127,"Black","F","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC609","2013 - 2014","Chicago","Alumni","Choose Chicago East Cermak CHI 2013-2014","60616","Choose Chicago","Non-profit",472,"1994-09-06","60619",34977,0.592,0.141,0.09,0.046,0.306,0.227,0.231,0.151,"Black","F","Dunbar Vocational Career Academy",1,0.977,0.89,0.76,"60616",1,NA,NA,NA,""
"UADC936","2013 - 2014","DC - Year Round High School Program","Terminated Student - Self Removed","Office of the Deputy Mayor for Planning and Economic Development DC 2013-2014","20024","Office of the Deputy Mayor for Planning and Economic Development","Government",65,"1996-07-31","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"Black","F","Dunbar Senior High School",1,0.993631,0.55,NA,"20001",0,NA,NA,NA,""
"UADC550","2013 - 2014","Chicago","Alumni","Arcadis CHI 2013-2014","60603","ARCADIS","Legal & Professional Services",466,"1995-10-22","60639",38707,0.661,0.103,0.099,0.042,0.262,0.22,0.084,0.129,"Hispanic/Latino","F","Steinmetz College Prep",1,0.926,0.89,0.53,"60634",1,NA,NA,NA,""
"UADC655","2013 - 2014","Baltimore","Alumni","Higher Achievement BAL Lakeland 2013-2014","20006","Higher Achievement","Education",370,"1996-10-31","21044",98478,0.737,0.048,0.017,0.012,0.045,0.049,0.667,0.071,"Black","F","Frederick Douglass High School",1,0.93,0.5742,0.259,"20772",1,NA,NA,NA,""
"UADC950","2013 - 2014","Chicago","Terminated Student - Self Removed","Public Building Commission of Chicago CHI 2013-2014","60602","Public Building Commission of Chicago","Real Estate",328,"1996-01-17","60623",28949,0.579,0.108,0.094,0.103,0.394,0.367,0.07,0.176,"Hispanic/Latino","F","Farragut Career Academy",1,0.969,0.78,0.43,"60623",0,NA,NA,NA,""
"UADC573","2013 - 2014","Baltimore","Alumni","Bank of America BAL Homewood 2013-2014","20005","Bank of America","Financial Services",441,"1995-05-10","21215",34471,0.555,0.102,0.123,0.064,0.268,0.223,0.171,0.118,"Black","F","Northwestern High School",0,0.777,0.6049,0.346,"21215",1,NA,NA,NA,""
"UADC774","2013 - 2014","DC - Year Round High School Program","Alumni","United States Agency for International Development DC 2013-2014","20523","United States Agency for International Development","Government",600,"1996-08-19","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Hispanic/Latino","F","Wilson Senior High School",0,0.295401,0.76,NA,"20016",1,NA,NA,NA,"It was an incomparable experience that gave me the opportunity to grow professionally and as a person interacting with people from all over the world. I learned a lot about working in an office environment while receiving extra support from the Urban Alliance team to encourage me to finish up high school. It gave me the experience to propel me in the right direction as a working young lady in a very prestigious setting.   "
"UADC754","2013 - 2014","Chicago","Alumni","Schiff Hardin CHI 2013-2014","60606","Schiff Hardin","Legal & Professional Services",259,"1996-01-20","60634",55767,0.68,0.081,0.036,0.016,0.09,0.088,0.201,0.053,"Hispanic/Latino","F","Steinmetz College Prep",1,0.926,0.89,0.53,"60634",1,NA,NA,NA,""
"UADC579","2013 - 2014","Chicago","Alumni","Bartlit Beck CHI 2013-2014","60654","Bartlit Beck","Legal & Professional Services",482,"1996-10-11","60707",55554,0.687,0.083,0.027,0.024,0.098,0.085,0.26,0.058,"Hispanic/Latino","F","Steinmetz College Prep",1,0.926,0.89,0.53,"60634",1,NA,NA,NA,"The Urban Alliance program was an awesome experience, it helped to become more independent and mature. I received a lot of help from my mentor and my coworkers. Take the opportunity and enjoy it!"
"UADC945","2013 - 2014","Baltimore - YAIP","Alumni","People's Community Health Center BAL YAIP Central Office 2013-2014","21201","People's Community Health Center","Healthcare",72,"1993-08-13","21212",61912,0.69,0.06,0.054,0.046,0.129,0.08,0.532,0.097,"Black","F","",NA,NA,NA,NA,NA,0,NA,NA,NA,""
"UADC827","2013 - 2014","DC - Summer Program","Alumni","Bank of America Mount Pleasant DC 2013-2014","20010","Bank of America","Financial Services",225,"1995-10-30","20032",31184,0.58,0.155,0.112,0.121,0.375,0.34,0.141,0.222,"Black","F","Ballou Senior High School",1,0.998,0.5,NA,"20032",0,NA,NA,NA,""
"UADC672","2013 - 2014","Baltimore","Alumni","Johns Hopkins School of Nursing Enrollment & Student Affairs 2013-2014","21205","Johns Hopkins University - School of Public Health and School of Nursing","Education",570,"1996-06-19","21216",31988,0.565,0.107,0.118,0.082,0.226,0.203,0.125,0.085,"Black","F","Baltimore Talent Development High School",0,0.886,0.6923,0.292,"21217",1,NA,NA,NA,"Urban Alliance is a great opportunity. It prepares you for the professional world and also your next educational career."
"UADC619","2013 - 2014","Baltimore","Alumni","Community Law in Action BAL 2013-2014","21201","Community Law In Action","Non-profit",472,"1995-11-01","21234",58332,0.689,0.049,0.033,0.023,0.095,0.07,0.273,0.089,"Black","M","W.E.B. DuBois High School",0,0.816,0.5862,0.396,"21214",1,NA,NA,NA,""
"UADC33","2013 - 2014","DC - DOES","Alumni","Split This Rock DC 2013-2014","20036","Split This Rock","Non-profit",25,"1997-06-01","20020",34685,0.561,0.115,0.113,0.124,0.348,0.317,0.16,0.203,"Other","M","Dunbar Senior High School",1,0.993631,0.55,NA,"20001",0,NA,NA,NA,""
"UADC543","2013 - 2014","Chicago","Alumni","Alan F. Segal & Associates CHI 2013-2014","60603","Alan F. Segal & Associates","Legal & Professional Services",347,"1995-10-22","60653",24968,0.616,0.153,0.123,0.044,0.363,0.359,0.265,0.203,"Black","F","Phillips High School",1,0.944,0.69,0.58,"60653",1,NA,NA,NA,"My experience was valuable because I was in need of a job. It help me find a better way to continue through life."
"UADC837","2013 - 2014","DC - Summer Program","Alumni","Bank of America Pennsylvania Ave DC 2013-2014","20004","Bank of America","Financial Services",96,"1996-01-15","20024",72870,0.72,0.054,0.061,0.035,0.116,0.143,0.656,0.043,"Black","F","Wilson Senior High School",0,0.295401,0.76,NA,"20016",0,NA,NA,NA,""
"UADC716","2013 - 2014","Baltimore","Alumni","Morgan Stanley BAL Legal Compliance 2013-2014","10036","Morgan Stanley","Financial Services",405,"1996-08-06","21217",26187,0.534,0.108,0.15,0.085,0.363,0.307,0.187,0.167,"Black","M","Academy of College and Career Exploration (ACCE)",0,0.771,0.6923,0.566,"21211",1,NA,NA,NA,"Its valuable because it helps children throughout baltimore get a taste and a understanding of the work force."
"UADC34","2013 - 2014","DC - Year Round High School Program","Summer Program Alumni","Third Way DC 2013-2014","20036","Third Way","Non-profit",52,"1997-11-19","20017",56980,0.641,0.107,0.05,0.027,0.135,0.135,0.391,0.102,"Black","F","McKinley Technology High School",1,0.553412,0.95,NA,"20002",0,NA,NA,NA,""
"UADC569","2013 - 2014","Baltimore","Alumni","Bank of America BAL North Charles 2013-2014","21218","Bank of America","Financial Services",326,"1996-05-10","21217",26187,0.534,0.108,0.15,0.085,0.363,0.307,0.187,0.167,"Black","F","Frederick Douglass High School",1,0.93,0.5742,0.259,"20772",1,NA,NA,NA,"The experiance with UA was valuable because it taught me to be more positive and se what having a real job is like."
"UADC743","2013 - 2014","DC - Year Round High School Program","Alumni","CapitalSource DC 2013-2014","20815","Pacific Western Bank- Capital Source","Financial Services",260,"1996-11-14","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Black","M","McKinley Technology High School",1,0.553412,0.95,NA,"20002",1,NA,NA,NA,""
"UADC976","2013 - 2014","DC - Year Round High School Program","Terminated Student - Performance Based","Urban Alliance 2013-2014","20005","UA DC","Non-profit",260,"1996-04-16","20019",34832,0.595,0.136,0.115,0.103,0.324,0.264,0.134,0.188,"Black","M","Woodson Senior High School",1,1,0.6,NA,"20019",0,NA,NA,NA,""
"UADC796","2013 - 2014","Chicago","Alumni","WITS Sponsored CHI 2013-2014","60603","Working in the Schools (WITS)","Education",473,"1995-08-20","60624",22786,0.447,0.112,0.205,0.104,0.499,0.409,0.079,0.247,"Black","F","Wells Community Academy High School",1,0.94,0.71,0.49,"60622",1,NA,NA,NA,"UA is the most exclusive internship thus far. Not only do you get to do something not an ordinary 17 - 18 year old could do, you get real life experience. UA gave me a wonderful background I can put under my belt and be proud off."
"UADC966","2013 - 2014","Chicago","Terminated Student - Self Removed","Sterling Bay Companies CHI 2013-2014","60607","Sterling Bay Companies","Real Estate",267,"1996-06-14","60623",28949,0.579,0.108,0.094,0.103,0.394,0.367,0.07,0.176,"Black","F","Farragut Career Academy",1,0.969,0.78,0.43,"60623",0,NA,NA,NA,""
"UADC779","2013 - 2014","DC - Year Round High School Program","Alumni","University of the District of Columbia- Career and Professional Development Department DC 2013-2014","20008","University of the District of Columbia","Education",205,"1996-02-01","20017",56980,0.641,0.107,0.05,0.027,0.135,0.135,0.391,0.102,"Black","M","Dunbar Senior High School",1,0.993631,0.55,NA,"20001",1,NA,NA,NA,""
"UADC824","2013 - 2014","DC - Year Round High School Program","Terminated Student - Self Removed","Aspen Institute DC 2013-2014","20036","Aspen Institute","Non-profit",142,"1996-11-08","20011",54488,0.691,0.089,0.042,0.024,0.129,0.119,0.346,0.081,"Black","F","McKinley Technology High School",1,0.553412,0.95,NA,"20002",0,NA,NA,NA,""
"UADC710","2013 - 2014","Chicago","Alumni","McKinsey & Company CHI 2013-2014","60601","McKinsey & Company","Legal & Professional Services",458,"1996-01-06","60629",40650,0.646,0.107,0.07,0.046,0.244,0.221,0.083,0.125,"Black","M","Muchin College Prep",0,0.849,0.93,NA,"60602",1,NA,NA,NA,"I liked the fact that all though we are going to school, UA will fit work into our schedule to help us out. They supported us at work and school. They keep teens in a stable environment to learn things in the real world."
